Configuration,Calibration_F1,HeldOut_Precision,HeldOut_Recall,HeldOut_F1
"Ensemble(weights=(0.5, 0.5, 0.0, 0.0), pct=80)",0.11891891891891893,0.10691557064064489,0.2016,0.13972830607152759
"Ensemble(weights=(0.5, 0.5, 0.0, 0.0), pct=85)",0.05194805194805195,0.0743006993006993,0.102,0.08597437626432906
"Ensemble(weights=(0.5, 0.5, 0.0, 0.0), pct=90)",0.04897959183673469,0.08256070640176601,0.0748,0.07848898216159496
"Ensemble(weights=(0.5, 0.5, 0.0, 0.0), pct=95)",0.0,0.0,0.0,0.0
"Ensemble(weights=(0.0, 0.5, 0.0, 0.5), pct=50)",0.11275167785234899,0.07880757948148735,0.3976,0.13154238073182029
"Ensemble(weights=(0.0, 0.5, 0.0, 0.5), pct=60)",0.12924071082390953,0.09560417898679283,0.388,0.15340819231377512
"Ensemble(weights=(0.0, 0.5, 0.0, 0.5), pct=70)",0.14634146341463414,0.12066160520607375,0.356,0.1802349129202106
"Ensemble(weights=(0.0, 0.5, 0.0, 0.5), pct=80)",0.14054054054054055,0.13825170489770613,0.2676,0.18231366671208613
"Ensemble(weights=(0.0, 0.5, 0.0, 0.5), pct=85)",0.0915032679738562,0.09838998211091235,0.132,0.11274342330030748
"Ensemble(weights=(0.0, 0.5, 0.0, 0.5), pct=90)",0.0326530612244898,0.046585255540479424,0.0412,0.04372744640203778
"Ensemble(weights=(0.0, 0.5, 0.0, 0.5), pct=95)",0.0,0.0,0.0,0.0
